text,sentiment_score,used_tokens
@loveintagalog @chintheleast The artist/s cursed Konrad with their graffiti on his statue.,0.0,0.0
"@loveintagalog @chintheleast ""taking [one's] sex organ into one's [own] mouth"" as one of three ways to commit ""rela… https://t.co/AErUWUJZRW",0.296,0.05263157894736842
@loveintagalog @chintheleast Probably done by the Archbishops detractors. His lust for power was famous as well as… https://t.co/rhvXOcgtOr,0.2732,0.05555555555555555
RT @WhoresofYore: I watched this last night. It was really moving to finally see a documentary that focuses on the victims and not the kill…,-0.3182,0.13043478260869565
"@loveintagalog @MojoBajojo Actually, that area IS a parking lot except on Sundays.",0.0,0.0
@loveintagalog @MojoBajojo That's where the rich from that neighborhood peddle their products at exorbitant prices.… https://t.co/ctDJzDiHXr,0.5574,0.0625
@attyjong @loveintagalog Sure😉. Great posts though. Have an awesome day!,0.8588,0.2
"RT @McShutterlovin: sometimes being right, isn’t the only way to win an arguement. kindness can go a long way in the battle to change heart…",0.6369,0.125
"RT @mashable: 'The beauty of a bagel is in its crunchy, then impossibly chewy bite. When sliced like bread, this pleasure is gone forever.'…",0.875,0.13043478260869565
@attyjong @loveintagalog I just followed both your accounts. I am a toughie outside. But I am ice cream and paella… https://t.co/GL3fSFYUO3,-0.1779,0.058823529411764705
@loveintagalog Aren't you two going  out on a date yet?,0.0,0.1111111111111111
"RT @paulocoelho: Forgive but never forget.
And always be proud of your scars",0.7717,0.3076923076923077
RT @Emmabarnett: Normally my period posts are about smashing shame but today I’m banging a different drum: women please do not flush your t…,0.2263,0.13043478260869565
"RT @bbclaurak: 2. The 'Grand Wizards' (the new name for the Chequer's daytrippers apparently) also had another meeting this morning, were t…",0.4588,0.045454545454545456
RT @robwatsonbbc: I was listening carefully to @bbc5live and thought the segment with Bill Cash on #Brexit fascinating.  It was well handle…,0.7269,0.14285714285714285
RT @robwatsonbbc: Excellent and intriguing #brexit blog from my colleague @bbclaurak:  BBC News - Brexit: A never-ending series of question…,0.5719,0.05555555555555555
RT @robwatsonbbc: Big news on #Brexit; Theresa May offering to resign before the next phase of Brexit (ie the negotiation of future U.K./EU…,-0.34,0.043478260869565216
@robwatsonbbc screaming u-turn indeed! Hello!,-0.4912,0.2
@BBCNuala hello nuala! More Brexit!,0.0,0.2
"@loveintagalog . . .sometimes one feels freer speaking to a stranger than to people one knows. Why is that?""
“Proba… https://t.co/XsrEKs24Bz",0.2732,0.05555555555555555
@loveintagalog There's an opposite to déjà vu. They call it jamais vu. It's when you meet the same people or visit… https://t.co/eNonFKfBF7,0.0,0.0
@loveintagalog Or was it Jam Sisante-Cayco who did the splitting?,0.0,0.0
@loveintagalog I can't believe it! Sotto just split an infinitive!He should no better than to not split an infinitive🤨😀,0.3147,0.2222222222222222
"RT @riskywiver: Today was very full, but the problem isn't today. It's tomorrow. I'd be able to recover from today if it weren't for tomorr…",-0.5499,0.16
"RT @CSIS: 5 risks to watch in 2019 2.0: 

1. Uncertainty rules supreme
2. U.S. alliances are breaking
3. Global supply chain is fragmenting…",0.0258,0.13043478260869565
"RT @EU_Commission: If you intend to travel between the UK and the EU in the event of ‘no deal’, #Prepare4Brexit on:
👮‍♂️ Border checks, vis…",0.0,0.0
RT @Chloetilley: @GlennFr89118937 @robwatsonbbc Well that’s very kind. Trying to find the odd light moment when discussing Brexit @robwatso…,0.5413,0.21052631578947367
@Chloetilley no to Brexit then https://t.co/fyZn7AMOeG,-0.296,0.16666666666666666
If Teresa May’s cabinet resigns they are easily replaced. Just nip down to the local hardware store. https://t.co/VFDFhy0diu,0.0258,0.1111111111111111
"RT @CER_Grant: With tonight's news, we now know we have till April 12 for Parliament to decide what it wants - plenty of time for indicativ…",0.0,0.0
RT @naomigrimley: So potentially a new #NoDeal #Brexit scenario on 12th April. There is no way a UK PM could oversee an abrupt exit from EU…,-0.296,0.08333333333333333
RT @IanWishart: If there's no deal British citizens will have to queue up to get their passports stamped every time they enter or leave the…,-0.34,0.08
"RT @lntroBert: Funfact: the top 3 sweetest mango in the world are King Rudolpho, Triple A and Sweet Elena, all found here in the Philippine…",0.5859,0.08695652173913043
"RT @washingtonpost: Opinion | Jacques Pépin: Eggs are on the outs again. To me, they’ll always be perfect. https://t.co/eJTvLUP7Xy",0.5719,0.05555555555555555
@Chloetilley listening to BBCOS over am radio has become a bit tedious lately. All we hear is Brexit gaga over BBC.… https://t.co/8aqstgoHob,0.0,0.0
@BBCNuala What'll happen if you and @Chloetilley  hosted BBCOS together?,0.0,0.0
"@Chloetilley may I say, you have a very contagious sense of humour ma'am. I caught your broadcast on Brexit, with… https://t.co/jcig4ElkKu",0.1045,0.16666666666666666
"RT @BBCPolitics: #PeoplesVoteMarch organisers say more than a million people joined protests in central London
[tap to expand]
https://t.co…",-0.2263,0.1111111111111111
"@BBCNuala And When a pro-Europe campaigner defends Jean-Claude Juncker, what does she say? She says, 
""Don’t Touch My Junck!""",0.0,0.0
"@BBCNuala When, or If, Jean-Claude Juncker finds romance, it's
Junck In Love",0.8316,0.16666666666666666
"@BBCNuala When President of the European Commission Jean-Claude Juncker sends a letter to someone, you call it
Junck Mail",0.0,0.0
"@BBCNuala What do you call it if David Cameron gets hit by some poo thrown by a vote leave campaigner? Answer:
Brexshit",-0.0516,0.047619047619047616
"@BBCNuala What do you call it when David Cameron gets hit by an egg thrown by a vote leave campaigner? Answer:
Breggsit",-0.0516,0.047619047619047616
"@BBCNuala When Francois Hollande says something sassy, you call it
Hollandaise sauce",0.0,0.0
@robwatsonbbc I listen to BBC over am radio dzrj in Manila. Thank you for demystifying everything British for than… https://t.co/lIbvs5MKD9,0.3612,0.05263157894736842
"@Emmabarnett Is Johnny English a mysogynist? He is M17, you know. Accidental, notwithstanding,though",-0.0772,0.08333333333333333
"@CarlWalker1984 @bbc5live @Emmabarnett No! Only this man can save England! J. English, Esq.
https://t.co/wGCzEOJTY0",0.3786,0.14285714285714285
"@SimonAntenen @bbc5live @Emmabarnett Emma won't do. She's got a bad back,is lousy with politicians(because she can… https://t.co/PbltkKiogC",-0.7906,0.1875
"@gaynordrake @bbc5live @Emmabarnett You think a chocolate tea pot would do better than fish chips? Better than Johnny English, OHMSS?",0.7319,0.10526315789473684
@bbc5live @Emmabarnett Johnny English. Or Rowan Atkinson? Do you think Studio Canal would mind?,0.0,0.0
"@ebbo51 @bbc5live @Emmabarnett What happens to BBC after Brexit gets done, by the way?",0.0,0.0
"@Emmabarnett @bbc5live Hey Emma, my dad used to be afflicted by that, but he was old when he contracted that, metal… https://t.co/EHxMAlLu9O",-0.1901,0.045454545454545456
@sarrazemmel @Emmabarnett @bbc5live @painrevolution @kieranosull Lack of a good sense of humour can cause a thrown back sometimes Sarra😉,0.5719,0.17647058823529413
"We need a new page 1,column 1,above the fold story @BBCNuala, don't you think? https://t.co/T62eoODqh5",0.0,0.07142857142857142
"RT @BarackObama: Just in the nick of time: My brackets have never been my one shining moment, but here we go again. You can check out my #M…",0.0,0.03571428571428571
"RT @washingtonpost: Think tank bearing McCain’s name releases ""fact sheet"" rebutting Trump’s criticisms https://t.co/Nt2794dHPW",-0.2263,0.07142857142857142
"RT @AP: BREAKING: New Zealand prime minister announces ban on assault rifles, high-capacity magazines and ""military style semi-automatic ri…",-0.8126,0.10526315789473684
"@RuchoSharma Careful Ruchira, you're dating yourself😆",0.1531,0.16666666666666666
@RuchoSharma Wonder how @BBCNuala and her colleagues at @BBCOS think about this😋,0.0,0.0
RT @Lin_Manuel: The thread of journalists co-signing in the replies made me snort out loud. https://t.co/R051TVBMI2,0.0,0.0
"RT @ForeignPolicy: While the United States believes Huawei might be spying on behalf of the Chinese government, that hasn’t stopped the com…",0.2263,0.09090909090909091
@BBCNuala look what I found!An old Monty Python https://t.co/vQby32l1C7,0.0,0.0
@DanaSchwartzzz @JojoMalig It did not disappear. People actually survived getting sick of it. After sometime. To th… https://t.co/4dLOf1D28h,0.1695,0.2222222222222222
"RT @leoudtohanINQ: LOOK: A super worm moon, the last #supermoon of 2019, is visible in Bohol, Philippines.  #Supermoon2019. https://t.co/X9…",0.5994,0.05555555555555555
"RT @USNavy: #OTD #WomensHistoryMonth Edition: March 21, 1917, Loretta Walsh was sworn in as chief yeoman and changed #USNavy history, becom…",0.0,0.0
RT @washingtonpost: Dozens of Jewish graves vandalized with swastikas and anti-Semitic slurs https://t.co/lhWMi51YCy,-0.296,0.07692307692307693
RT @BBCNews: Cervical screening: DIY smear test could be 'game-changer' https://t.co/WRx1wI0iEj,-0.3612,0.09090909090909091
RT @BBCWorld: Zambia bans 'Viagra' energy drink https://t.co/5D5XVLakHs,0.2732,0.125
RT @ABSCBNNews: [PHOTO] The super worm equinox moon is the last super moon of 2019 and there won't be another one until 2030. https://t.co/…,0.8316,0.125
